eta,genere,esperienza,zona,titolo,assunto
25,M,1,Centro,Diploma,0
32,F,4,Periferia,Laurea,1
41,F,10,Centro,Master,1
45,M,20,Periferia,Diploma,0
28,F,2,Centro,Laurea,1
37,M,8,Centro,Diploma,1
52,M,25,Periferia,Diploma,0
30,F,3,Centro,Laurea,1
48,F,15,Periferia,Master,0
26,M,1,Periferia,Diploma,0
29,F,2,Centro,Laurea,1
40,M,12,Centro,Laurea,1
33,M,7,Periferia,Laurea,0
46,F,18,Periferia,Master,0
27,F,1,Centro,Diploma,1
44,M,15,Centro,Master,1
39,F,8,Centro,Laurea,1
50,M,20,Periferia,Diploma,0
36,F,5,Centro,Laurea,1
55,M,25,Periferia,Master,0
34,F,7,Centro,Laurea,1
43,M,15,Centro,Master,1
31,F,4,Centro,Laurea,1
49,M,18,Periferia,Diploma,0
28,F,3,Centro,Laurea,1
47,M,22,Periferia,Diploma,0
26,F,1,Centro,Diploma,1
35,M,9,Centro,Laurea,1
54,F,25,Periferia,Master,0
29,M,4,Centro,Laurea,1
41,M,15,Centro,Master,1
30,F,2,Centro,Laurea,1
48,F,18,Periferia,Diploma,0
32,M,5,Centro,Laurea,1
38,F,10,Centro,Master,1
51,M,23,Periferia,Master,0
27,F,2,Centro,Laurea,1
45,M,20,Centro,Master,1
29,F,3,Periferia,Diploma,0
40,M,12,Centro,Laurea,1
33,F,6,Centro,Laurea,1
52,M,25,Periferia,Diploma,0
36,F,8,Centro,Laurea,1
44,M,17,Centro,Master,1
30,F,3,Centro,Laurea,1
49,M,22,Periferia,Diploma,0
28,F,2,Centro,Laurea,1
47,F,19,Periferia,Master,0
31,M,5,Centro,Laurea,1
38,F,10,Centro,Master,1
50,M,24,Periferia,Diploma,0
26,F,1,Centro,Diploma,1
43,M,16,Centro,Master,1
29,F,4,Centro,Laurea,1
48,F,18,Periferia,Master,0
27,M,2,Centro,Diploma,1
35,F,8,Centro,Laurea,1
54,M,25,Periferia,Diploma,0
32,F,6,Centro,Laurea,1
46,M,19,Centro,Master,1
28,F,3,Centro,Laurea,1
49,M,22,Periferia,Diploma,0
31,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
25,M,1,Centro,Diploma,1
38,F,9,Centro,Laurea,1
52,M,25,Periferia,Master,0
30,F,2,Centro,Laurea,1
44,M,15,Centro,Master,1
29,F,3,Periferia,Diploma,0
41,M,14,Centro,Laurea,1
34,F,7,Centro,Laurea,1
50,M,23,Periferia,Diploma,0
36,F,9,Centro,Laurea,1
45,M,20,Centro,Master,1
28,F,2,Centro,Laurea,1
48,F,19,Periferia,Master,0
30,M,5,Centro,Laurea,1
39,F,10,Centro,Master,1
51,M,25,Periferia,Diploma,0
27,F,1,Centro,Diploma,1
43,M,17,Centro,Master,1
29,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
26,M,2,Centro,Diploma,1
35,F,7,Centro,Laurea,1
55,M,25,Periferia,Diploma,0
32,F,5,Centro,Laurea,1
46,M,19,Centro,Master,1
28,F,3,Centro,Laurea,1
49,M,22,Periferia,Diploma,0
31,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
25,M,1,Centro,Diploma,1
38,F,9,Centro,Laurea,1
52,M,25,Periferia,Master,0
30,F,2,Centro,Laurea,1
44,M,15,Centro,Master,1
29,F,3,Periferia,Diploma,0
41,M,14,Centro,Laurea,1
34,F,7,Centro,Laurea,1
50,M,23,Periferia,Diploma,0
36,F,9,Centro,Laurea,1
45,M,20,Centro,Master,1
28,F,2,Centro,Laurea,1
48,F,19,Periferia,Master,0
30,M,5,Centro,Laurea,1
39,F,10,Centro,Master,1
51,M,25,Periferia,Diploma,0
27,F,1,Centro,Diploma,1
43,M,17,Centro,Master,1
29,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
26,M,2,Centro,Diploma,1
35,F,7,Centro,Laurea,1
55,M,25,Periferia,Diploma,0
32,F,5,Centro,Laurea,1
46,M,19,Centro,Master,1
28,F,3,Centro,Laurea,1
49,M,22,Periferia,Diploma,0
31,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
25,M,1,Centro,Diploma,1
38,F,9,Centro,Laurea,1
52,M,25,Periferia,Master,0
30,F,2,Centro,Laurea,1
44,M,15,Centro,Master,1
29,F,3,Periferia,Diploma,0
41,M,14,Centro,Laurea,1
34,F,7,Centro,Laurea,1
50,M,23,Periferia,Diploma,0
36,F,9,Centro,Laurea,1
45,M,20,Centro,Master,1
28,F,2,Centro,Laurea,1
48,F,19,Periferia,Master,0
30,M,5,Centro,Laurea,1
39,F,10,Centro,Master,1
51,M,25,Periferia,Diploma,0
27,F,1,Centro,Diploma,1
43,M,17,Centro,Master,1
29,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
26,M,2,Centro,Diploma,1
35,F,7,Centro,Laurea,1
55,M,25,Periferia,Diploma,0
32,F,5,Centro,Laurea,1
46,M,19,Centro,Master,1
28,F,3,Centro,Laurea,1
49,M,22,Periferia,Diploma,0
31,F,4,Centro,Laurea,1
47,F,18,Periferia,Master,0
